name,viaf,wiki,pages
Bovillus (Bolles) Carolus,,,133
"Boyssoné, Jehan de",,Q3175304,143
Braccius (Braccesi) Alexander,76428037,Q2832756,58
Brahe Tycho,73850627,Q36620,"192,231,265,268"
Brant Sebastianus,29530930,Q60351,182
Brecht(an)us Livinus,30350250,Q55876001,"108,151,186"
Brenderis Pr.,,,247
Breton: see Britannus.,,,
Brezovacki Titus,,,95
Briçonnet Germain,,,131
Briggs Henry,,,169
Brignoli Ferdinandus Maria,33528591,Q63806472,65
Britannus (Breton) Robertus,,,132
Brixius (de Brie) Germanus,,,"137,144"
Brodaricius Stephanus,,,"215,223"
Brooke Samuel,37267857,Q7410989,167
Broscius (Brozek ) Miecislaus,49634241,Q11019710,247
Broukhusius Janus,61896231,Q5587106,"152,204"
Browning Robert,,,18
Bruerius Desrivauxius Marcus,,,"93,130"
Brulovius Caspar,37720755,Q1047821,"187,188"
Brunius Carolus G.,,,279
Brunus Jordanus,68926311,Q36330,62
Brunus Leonardus,,Q314488,"8,14,31,45,57,70,128"
Brunus Ludovicus,78819129,Q55226065,149
Bruschius Gaspar,,Q1392240,230
Buchananus Georgius,105874857,Q715169,"32,130,168,295"
Budaeus Gulielmus,105878228,Q353668,"119,128,131,132,133,134,136,146"
Buialski Elias,,,256
Bultelius Ghislenus,,,"61,152"
Bunellus Petrus,18168004,Q3384228,132
Buniό: see Bonus.,,,
Burgundius Nicolaus,,,158
Burleigh Walter,86734224,Q1862572,21
Busbequius Augerius,76375795,Q647633,312
Burrus Petrus,253974435,Q18385021,"74,128,136"
Busleyden Hieronymus,,,149
Buxtorf Johannes,,,207
Caamaño P.,,,302
Cabacius Rhallus Demetrius,,,84
Cabacius Rhallus Manilius,,,84
Cabrera Christophorus,,,297
Caiadus Hermicus,59184917,Q18385046,"118,125"
"Caesar, C. Iulius",,,"5,290"
Caetano Josephus,,,123
Calaminus Georgius,29810342,Q1503883,187
Calcagninus Caelius,76366882,Q1107869,23
Caldanus Leopoldus,,,"66,67"
Caldanus Florianus,,,"66,67"
Calderon Pedro,,,"117,202"
Calentius Elisius,17300754,Q3051128,58
Callens Paul L.,,,293
Callimachus,,Q192417,242
Callimachus Experiens (Buonaccorsi) Philippus,9115159248533209481216,Q722544,"77,83,220,241,249"
Callistus Andronicus,316400439,Q3299494,4
Calenius Matthias,,,280
Calvidius Laetus: see Quillet.,,,
Calvin Jean,90631825,Q37577,"127,133,269,312"
